Priority,Business Name,Phone,Email,Address,City,Category,Has Website,Current Website,Why They're a Good Target,Suggested Outreach Angle,Call Script,Prospect ID,Date Found
🔥 HOT,Green Thumb Landscaping,(805) 555-0678,green@thumb.com,,Pasadena,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Has email - can send mockup preview,"Hi, this is Ruben. I was looking for contractor services in Pasadena and noticed Green Thumb Landscaping doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975980496_q9qmamofl,2/24/2026
🔥 HOT,Santa Barbara Smiles,(805) 555-0234,info@sbsmiles.com,,Irvine,Medical,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Medical practices need patient portals and appointment booking; Has email - can send mockup preview,"Hi, this is Ruben. I was looking for medical services in Irvine and noticed Santa Barbara Smiles doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975978491_7dfk7szcx,2/24/2026
🔥 HOT,Solid Foundation Co,(805) 555-0290,solid@foundation.com,,Encinitas,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Has email - can send mockup preview,"Hi, this is Ruben. I was looking for contractor services in Encinitas and noticed Solid Foundation Co doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975974482_00i2i279h,2/24/2026
🔥 HOT,Volt Masters Electric,(805) 555-0145,volts@electric.com,,La Jolla,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Has email - can send mockup preview,"Hi, this is Ruben. I was looking for contractor services in La Jolla and noticed Volt Masters Electric doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975972978_zc6oaokdg,2/24/2026
🔥 HOT,Beachside Business,(805) 555-0500,beach@side.com,,Inglewood,Professional,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Professional services need credibility through web presence; Has email - can send mockup preview,"Hi, this is Ruben. I was looking for professional services in Inglewood and noticed Beachside Business doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975971474_io65et95q,2/24/2026
🔥 HOT,Santa Barbara Plumbing Co,(805) 555-0456,,,Culver City,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Phone only - call during business hours,"Hi, this is Ruben. I was looking for contractor services in Culver City and noticed Santa Barbara Plumbing Co doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975982500_2dlqonfx2,2/24/2026
🔥 HOT,Quick Fix Plumbing,(805) 555-0324,,,Culver City,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Phone only - call during business hours,"Hi, this is Ruben. I was looking for contractor services in Culver City and noticed Quick Fix Plumbing doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975982500_n2wlfj8ll,2/24/2026
🔥 HOT,Paradise Landscapes,(805) 555-0478,,,Pasadena,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Phone only - call during business hours,"Hi, this is Ruben. I was looking for contractor services in Pasadena and noticed Paradise Landscapes doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975980497_qcz3k6t0k,2/24/2026
🔥 HOT,Family Dental Center,(805) 555-0367,,,Irvine,Medical,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Medical practices need patient portals and appointment booking; Phone only - call during business hours,"Hi, this is Ruben. I was looking for medical services in Irvine and noticed Family Dental Center doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975978492_nzcobpqou,2/24/2026
🔥 HOT,Maid Perfect,(805) 555-0235,,,Carlsbad,Home Services,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Home service providers found via Google - need SEO-optimized sites; Phone only - call during business hours,"Hi, this is Ruben. I was looking for home services services in Carlsbad and noticed Maid Perfect doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975975986_1vc64vu3s,2/24/2026
