First Name,Last Name,Email,Phone,Company Name,Address,City,State,Country,Tags,Business Category,Prospect ID,Query,Mockup URL,Lead Source,Priority,Has Website,Stage,Pipeline
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_11,Santa Barbara restaurant,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_12,Santa Barbara cafe,,Website Sales System,3,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_13,Santa Barbara bakery,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Goleta,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_37,Goleta restaurant,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Goleta,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_38,Goleta cafe,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Goleta,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_39,Goleta bakery,,Website Sales System,3,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_63,Carpinteria restaurant,,Website Sales System,2,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_64,Carpinteria cafe,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_65,Carpinteria bakery,,Website Sales System,2,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Ventura,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_89,Ventura restaurant,,Website Sales System,2,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Ventura,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_90,Ventura cafe,,Website Sales System,3,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Ventura,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_91,Ventura bakery,,Website Sales System,3,No,Prospect Found,Website Sales - Restaurant
